,open_time,o,h,l,c,v,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2024-04-30 12:59:59.999,1714460400000,63412.00000000,63430.73000000,63357.71000000,63370.00000000,177.58392000,1714462199999,11257135.54067610,11605,92.11114000,5839025.74199660,0
2024-04-30 13:29:59.999,1714462200000,63370.00000000,63461.96000000,63135.70000000,63148.74000000,806.64508000,1714463999999,51055412.47575860,31153,404.30426000,25590008.47673500,0
2024-04-30 13:59:59.999,1714464000000,63148.74000000,63244.00000000,62734.79000000,62752.00000000,1173.56155000,1714465799999,73863106.99981540,44359,478.30508000,30103031.58019650,0
2024-04-30 14:29:59.999,1714465800000,62752.00000000,62760.56000000,61816.46000000,61919.32000000,3112.50130000,1714467599999,193705978.37265580,96143,1397.76577000,86978014.16388940,0
2024-04-30 14:59:59.999,1714467600000,61919.32000000,62148.00000000,61800.00000000,61989.96000000,1499.12457000,1714469399999,92921363.79496420,47685,772.18669000,47861086.73555580,0
2024-04-30 15:29:59.999,1714469400000,61989.96000000,61989.96000000,61600.00000000,61688.01000000,1207.19860000,1714471199999,74584354.61274490,46007,585.14074000,36155261.88979150,0
2024-04-30 15:59:59.999,1714471200000,61688.01000000,61777.72000000,61451.01000000,61748.57000000,1250.57077000,1714472999999,77089862.77073340,43612,592.51513000,36531937.40005030,0
2024-04-30 16:29:59.999,1714473000000,61748.57000000,61788.05000000,61550.80000000,61782.19000000,630.56755000,1714474799999,38896209.39922490,26774,292.76578000,18058765.41825110,0
2024-04-30 16:59:59.999,1714474800000,61782.18000000,61782.19000000,61200.00000000,61288.93000000,1186.71063000,1714476599999,72961324.41407250,42995,470.19366000,28923148.08856000,0
2024-04-30 17:29:59.999,1714476600000,61288.94000000,61378.11000000,61000.00000000,61204.42000000,4007.89872000,1714478399999,245370257.45923110,90552,2433.97258000,149014318.86330810,0
2024-04-30 17:59:59.999,1714478400000,61204.41000000,61337.78000000,60737.45000000,61296.11000000,2183.49769000,1714480199999,133322363.62322980,86308,950.04513000,58027929.19584980,0
2024-04-30 18:29:59.999,1714480200000,61296.11000000,61329.42000000,61118.56000000,61230.16000000,828.54684000,1714481999999,50724035.87131770,39422,402.35200000,24632133.65171580,0
2024-04-30 18:59:59.999,1714482000000,61230.16000000,61313.94000000,61033.47000000,61195.54000000,743.56118000,1714483799999,45479308.87615050,33500,384.36154000,23510494.93750740,0
2024-04-30 19:29:59.999,1714483800000,61195.53000000,61310.94000000,60779.79000000,60820.57000000,1080.07765000,1714485599999,65942485.41865390,46663,505.40077000,30869081.13272650,0
2024-04-30 19:59:59.999,1714485600000,60820.58000000,60986.22000000,60546.22000000,60829.61000000,1597.30001000,1714487399999,97058684.35667150,66162,798.78774000,48543398.65958050,0
2024-04-30 20:29:59.999,1714487400000,60829.60000000,61559.36000000,60780.75000000,61247.87000000,1626.02350000,1714489199999,99576389.11378350,55050,848.08685000,51933147.19340440,0
2024-04-30 20:59:59.999,1714489200000,61247.87000000,61395.66000000,60768.27000000,60976.97000000,1358.47461000,1714490999999,82891857.67011650,51985,619.13288000,37782632.30369420,0
2024-04-30 21:29:59.999,1714491000000,60976.98000000,60982.23000000,60600.72000000,60796.85000000,1087.38373000,1714492799999,66074728.76350520,40983,512.97859000,31168847.23899300,0
2024-04-30 21:59:59.999,1714492800000,60796.86000000,60947.55000000,60245.85000000,60272.38000000,2065.05501000,1714494599999,124995202.83865120,77789,857.44794000,51897004.75375510,0
2024-04-30 22:29:59.999,1714494600000,60272.37000000,60570.27000000,60158.86000000,60336.68000000,1275.66007000,1714496399999,76998820.65226170,47365,613.33122000,37018160.06651310,0
2024-04-30 22:59:59.999,1714496400000,60336.68000000,60514.72000000,60100.00000000,60433.39000000,1110.89434000,1714498199999,67015506.85023020,43437,529.00574000,31921163.87256750,0
2024-04-30 23:29:59.999,1714498200000,60433.40000000,60459.41000000,60080.00000000,60368.81000000,1432.91938000,1714499999999,86295925.48099490,43606,714.15109000,43006403.75694360,0
2024-04-30 23:59:59.999,1714500000000,60368.82000000,60538.38000000,60317.31000000,60332.87000000,707.81862000,1714501799999,42766595.69570550,30059,341.57834000,20640002.71299640,0
2024-05-01 00:29:59.999,1714501800000,60332.87000000,60406.20000000,60018.00000000,60403.67000000,1084.64085000,1714503599999,65313225.61706660,40503,512.79004000,30885076.38909490,0
2024-05-01 00:59:59.999,1714503600000,60403.68000000,60503.87000000,59751.99000000,60046.04000000,2559.22257000,1714505399999,153688375.21346840,80511,858.13523000,51566465.19179890,0
2024-05-01 01:29:59.999,1714505400000,60046.04000000,60303.32000000,59191.60000000,59292.95000000,3026.92062000,1714507199999,180603908.75551050,88180,1231.26997000,73487150.17728280,0
2024-05-01 01:59:59.999,1714507200000,59292.95000000,60059.63000000,59274.75000000,59728.51000000,2492.01748000,1714508999999,148967560.70973150,69258,1238.31627000,74018627.76453520,0
2024-05-01 02:29:59.999,1714509000000,59728.52000000,60177.46000000,59705.57000000,59958.62000000,922.86297000,1714510799999,55298848.49711580,34588,460.37634000,27586277.73901280,0
2024-05-01 02:59:59.999,1714510800000,59958.62000000,60347.61000000,59952.49000000,60339.28000000,708.12639000,1714512599999,42609635.04917400,27756,418.12892000,25159853.57542850,0
2024-05-01 03:29:59.999,1714512600000,60339.27000000,60400.00000000,60166.00000000,60180.00000000,443.06162000,1714514399999,26695131.23501980,20307,184.96960000,11145372.36780070,0
2024-05-01 03:59:59.999,1714514400000,60180.00000000,60794.00000000,60156.00000000,60790.55000000,770.34881000,1714516199999,46566378.31453530,34178,432.87188000,26172225.67060680,0
2024-05-01 04:29:59.999,1714516200000,60790.54000000,61070.71000000,60447.44000000,60589.79000000,1174.89716000,1714517999999,71399837.10242250,42915,545.82216000,33182002.97202130,0
2024-05-01 04:59:59.999,1714518000000,60589.79000000,60638.00000000,60401.06000000,60586.73000000,370.57246000,1714519799999,22432873.53645140,22761,195.79621000,11853028.10290340,0
2024-05-01 05:29:59.999,1714519800000,60586.73000000,60924.16000000,60562.00000000,60672.00000000,552.56663000,1714521599999,33557296.24506870,23577,327.42398000,19882455.85183460,0
2024-05-01 05:59:59.999,1714521600000,60672.01000000,60841.63000000,60380.57000000,60425.57000000,766.58906000,1714523399999,46487219.63402550,27784,271.72861000,16479656.82931620,0
2024-05-01 06:29:59.999,1714523400000,60425.57000000,60425.57000000,60078.52000000,60240.57000000,921.10499000,1714525199999,55514608.05124930,36106,418.44537000,25218725.56691670,0
2024-05-01 06:59:59.999,1714525200000,60240.58000000,60336.13000000,59850.06000000,60298.11000000,1193.08470000,1714526999999,71683528.51090680,43141,584.32858000,35106991.44622730,0
